distance-to-solar-noon,temperature,wind-direction,wind-speed,sky-cover,visibility,humidity,average-wind-speed-(period),average-pressure-(period)
1.140869565,49,29,15.9,3,10,63,10,29.92
0.439446367,51,25,10.3,4,4,96,10,29.95
0.29040404,49,28,20.5,1,10,57,30,30.11
0.162064826,64,27,16.1,2,10,65,11,30.07
1.135972461,54,6,7.4,0,9,77,0,30.08
0.098639456,53,24,3.9,4,10,83,3,30.3
1.001531394,68,29,4.9,0,10,67,5,30.01
0.306982872,63,21,10.5,1,10,68,20,29.74
0.822525597,57,12,2.8,0,10,70,0,30.11
0.355605889,64,29,12.3,4,10,75,0,29.87
0.06091954,60,30,10.5,1,10,49,20,29.88
0.205172414,54,15,3.5,1,9,56,0,30.18
0.168634064,55,12,2,0,10,65,3,30.21
0.421875,51,12,4,0,6,80,10,30.36
0.206953642,64,9,1.2,1,7,70,3,30.11
0.150112867,63,29,9.8,1,10,68,6,29.93
0.739495798,55,14,2.5,0,8,89,0,30.23
0.457990115,50,28,18.7,3,10,72,21,29.99
0.176369863,49,11,6.6,1,10,51,13,30.26
0.813913043,51,30,3.2,1,10,93,8,30.2
0.05524239,61,27,15,3,10,68,20,29.92
0.758503401,61,26,14.2,2,10,78,11,29.9
0.812423873,53,27,14.5,2,10,74,18,30.05
0.277580071,58,28,16.8,2,9,60,30,29.97
0.863701578,65,28,11.1,2,10,87,14,30.03
0.120418848,47,13,3.6,3,10,77,0,29.96
1.136206897,54,15,3.5,1,10,71,5,30.23
0.516407599,50,27,6.6,4,10,74,10,30.08
0.196050776,51,28,9.5,1,10,77,5,30.13
0.709090909,66,30,9.3,2,10,90,8,30.01
0.134907251,55,12,2,0,10,72,7,30.27
0.206557377,66,10,6.5,0,10,40,6,30.07
0.429319372,43,29,8.4,1,10,73,0,30.05
0.662908681,63,32,7.9,1,10,83,13,29.91
0.685446009,62,27,12.8,4,10,87,13,29.86
1.009259259,60,29,11.3,0,9,83,11,30.04
0.201587302,58,20,10.6,3,10,72,20,29.86
0.071428571,64,28,9.7,1,10,59,16,29.81
0.39769821,54,27,18,2,10,74,8,30.04
0.69681742,55,28,6.6,0,10,83,0,30.16
0.372204473,53,30,3.8,2,10,89,3,30.23
0.759593679,70,30,11.6,0,10,65,5,29.85
0.767918089,62,27,12.9,3,10,78,13,29.95
0.415292354,56,15,9.4,4,3,90,13,29.99
0.744299674,54,10,4.8,0,10,75,0,30.3
0.151927438,64,27,11,1,10,63,7,30.01
0.774410774,52,6,1.1,0,8,62,0,30.15
0.662908681,65,26,8.6,1,10,75,9,29.92
0.805647841,57,29,9.3,1,6,96,13,30.1
0.664167916,56,15,9.4,4,10,86,0,29.97
0.39195231,55,27,5.3,3,9,100,3,30.18
0.109375,50,29,4.9,3,8,72,0,30.18
0.459968603,65,15,13,4,6,90,6,30.09
0.62103929,50,29,26.6,2,10,61,16,29.96
1.058319039,48,4,3.8,2,5,89,7,30.15
0.256264237,60,26,14.7,1,10,59,17,29.96
0.596813725,55,26,14.8,3,10,77,14,30.1
0.655384615,68,29,4.6,0,10,49,6,29.99
0.353686636,56,28,10.6,4,10,80,8,29.98
0.384728341,55,10,3.1,3,10,71,0,30.04
0.554421769,61,26,14.2,4,10,75,8,29.88
0.57260274,63,27,14.4,1,10,78,16,29.94
0.166666667,64,31,5.8,1,9,73,5,29.78
0.090909091,63,5,2,0,8,78,3,30.11
0.373397436,60,30,4.6,1,10,80,5,30.33
0.683631362,59,28,12.4,3,10,86,8,30.02
0.637434555,62,29,14.9,1,10,87,7,29.74
0.062863795,59,28,14.4,1,10,63,23,29.95
0.171186441,55,9,2.3,3,9,78,6,30.17
0.668552036,62,26,10.5,4,10,75,11,29.99
0.873036649,62,29,14.9,1,10,81,8,29.76
1.129692833,57,12,2.8,0,10,72,3,30.15
1.047377327,56,13,3.2,1,10,77,0,30.15
0.683076923,49,13,16.6,4,8,83,24,29.74
0.608641975,62,29,11.5,4,10,83,5,29.86
0.762645914,62,29,6.4,1,10,64,10,29.93
0.991666667,54,27,5.7,2,7,93,6,30.13
1.037459283,54,10,4.8,0,10,64,3,30.31
0.147024504,74,30,9,0,10,58,3,29.89
0.426829268,46,21,8.9,4,9,80,8,29.76
0.675799087,50,7,3.8,2,10,93,5,30.18
0.634241245,76,30,6.9,0,10,78,6,29.82
0.314285714,52,26,13.4,1,10,64,22,29.97
0.158496732,49,27,4.7,0,10,40,0,30.39
0.088952654,65,28,11.1,3,10,55,15,30
0.771726535,57,30,10.4,0,10,83,7,29.9
0.152866242,55,16,10.3,4,10,86,10,29.92
0.691501746,59,29,15.6,2,10,90,16,29.95
0.708955224,69,29,4.1,0,10,64,3,30.03
0.168067227,55,14,2.5,0,5,54,3,30.26
0.143906021,55,10,3.1,4,10,70,5,30.01
0.81372549,51,27,12.9,3,10,77,10,30.05
0.261016949,63,26,16.3,2,10,57,22,29.95
0.675925926,61,28,14.6,3,10,90,15,29.99
0.296344648,53,28,6,2,10,32,17,30.02
0.156199678,54,32,1.9,0,10,29,5,30.18
0.166454892,78,29,6.6,3,10,66,3,29.97
0.692307692,66,27,12.6,1,10,83,0,30.01
0.775716695,55,12,2,0,10,55,0,30.2
0.933427762,66,29,7.8,1,10,67,0,30
0.771353482,54,27,25.1,2,10,80,28,29.94
0.792822186,60,28,5.9,3,10,93,8,30.21
0.064670659,64,23,7.3,3,10,68,11,30.08
0.804835924,44,30,5.2,1,10,68,3,30.05
0.433281005,48,29,16.2,1,10,64,26,30
0.947001395,55,18,8.2,4,10,77,8,30.05
0.628148148,65,29,4.9,0,10,40,14,30.03
0.587677725,63,28,13,4,10,90,5,29.94
1.068561873,55,13,1.5,2,10,55,0,30.05
0.361481481,65,29,4.9,1,10,31,14,30.05
0.453355155,47,36,6,1,10,53,5,30.47
0.054176072,66,30,11.5,0,10,43,14,29.72
0.38625,69,30,3.9,0,10,78,0,30.09
0.740740741,52,6,1.1,1,10,83,0,30.23
0.70295858,58,28,15.8,1,10,64,10,29.98
0.697986577,54,28,6,0,10,83,5,30.08
0.292993631,56,27,17.5,2,10,70,22,30.22
0.410979228,56,17,7.6,4,10,72,11,30.13
1.061461794,53,2,2.6,4,10,86,3,30.01
0.662528217,70,30,9.7,0,10,53,8,29.87
1.064347826,51,30,3.2,2,10,89,3,30.26
0.051369863,62,28,13.3,3,10,53,18,30.02
0.487972509,49,1,3.8,1,6,77,0,30.19
0.439226519,58,29,8,4,8,90,0,30.22
0.751736111,48,30,4.1,4,0.5,96,0,30.2
0.374598071,62,30,5.2,1,9,96,0,30.22
